Agency Type,Distribution Channel,Claim,Duration,Destination,Net Sales,Commision (in value),Age
0,1,0,16.0,18,47.0,0.0,36.0
0,1,0,12.0,14,29.0,0.0,36.0
0,1,0,39.0,12,20.0,0.0,46.0
0,1,0,19.0,0,20.0,0.0,46.0
0,1,0,18.0,19,30.0,0.0,36.0
0,1,0,119.0,0,20.0,0.0,46.0
0,1,0,105.0,10,44.0,0.0,25.0
0,1,0,23.0,20,57.0,0.0,36.0
0,1,0,57.0,21,37.0,0.0,36.0
0,1,0,29.0,16,46.0,0.0,36.0
0,1,0,1.0,13,10.0,0.0,36.0
0,1,0,15.0,18,16.0,0.0,36.0
0,1,0,16.0,10,28.0,0.0,55.0
0,1,0,119.0,17,21.0,0.0,36.0
0,1,0,90.0,19,37.0,0.0,36.0
0,1,0,91.0,17,18.0,0.0,36.0
0,1,0,2.0,9,14.0,0.0,31.0
0,1,0,17.0,4,19.0,0.0,36.0
0,1,0,10.0,17,37.0,0.0,36.0
0,1,0,11.0,4,10.0,0.0,55.0
0,1,0,119.0,22,80.0,0.0,36.0
0,1,0,36.0,16,16.0,0.0,23.0
0,1,0,12.0,3,39.0,0.0,32.0
0,1,0,18.0,7,14.0,0.0,36.0
0,1,0,6.0,13,25.0,0.0,43.0
0,1,0,2.0,0,10.0,0.0,35.0
0,1,0,18.0,4,10.0,0.0,36.0
0,1,0,2.0,19,10.0,0.0,36.0
0,1,0,39.0,9,68.0,0.0,36.0
0,1,0,4.0,3,17.0,0.0,35.0
0,1,0,38.0,20,0.0,0.0,36.0
0,1,0,10.0,20,23.0,0.0,36.0
0,1,0,92.0,23,80.0,0.0,36.0
0,1,0,22.0,24,80.0,0.0,24.0
0,1,0,10.0,4,10.0,0.0,30.0
0,1,0,64.0,0,10.0,0.0,55.0
0,1,0,7.0,0,15.0,0.0,36.0
0,1,0,8.0,7,0.0,0.0,36.0
0,1,0,37.0,4,30.0,0.0,43.0
0,1,0,2.0,20,16.0,0.0,36.0
0,1,0,31.0,20,58.0,0.0,29.0
0,1,0,41.0,10,20.0,0.0,40.0
0,1,0,6.0,0,10.0,0.0,29.0
0,1,0,8.0,12,17.0,0.0,43.0
0,1,0,5.0,12,37.0,0.0,23.0
0,1,0,119.0,14,27.0,0.0,36.0
0,1,0,10.0,18,51.0,0.0,36.0
0,1,0,29.0,17,13.0,0.0,23.0
0,1,0,50.0,1,24.0,0.0,36.0
0,1,0,1.0,7,20.0,0.0,36.0
0,1,0,2.0,14,26.0,0.0,36.0
0,1,0,1.0,9,86.0,0.0,36.0
0,1,0,8.0,23,28.0,0.0,36.0
0,1,0,19.0,0,20.0,0.0,55.0
0,1,0,24.0,20,90.0,0.0,36.0
1,1,0,11.0,13,50.0,20.0,55.0
1,1,0,4.0,25,15.0,6.0,44.0
1,1,0,55.0,9,21.35,5.98,48.0
1,1,0,15.0,9,6.5,1.82,48.0
1,1,0,45.0,1,26.0,9.1,31.0
1,1,0,119.0,12,30.0,10.5,48.0
1,1,0,5.0,12,22.0,7.7,29.0
1,1,0,22.0,4,18.0,6.3,55.0
1,1,0,76.0,1,35.0,12.25,55.0
1,1,0,41.0,14,44.0,15.4,37.0
1,1,0,43.0,4,22.0,7.7,34.0
1,1,0,5.0,14,22.0,7.7,41.0
1,1,0,56.0,17,75.96,26.59,48.0
1,1,0,3.0,9,12.5,4.38,48.0
1,1,0,3.0,0,4.99,1.75,48.0
1,1,0,20.0,9,47.0,11.75,30.0
1,1,0,29.0,9,27.0,6.75,30.0
1,1,0,119.0,9,69.55,17.39,26.0
1,1,0,23.0,9,30.55,7.64,35.0
1,1,0,13.0,9,19.5,4.88,34.0
1,1,0,29.0,9,31.85,7.96,45.0
1,1,0,23.0,9,77.35,19.34,52.0
0,1,0,23.0,0,29.7,17.82,31.0
0,1,0,29.0,1,39.6,23.76,52.0
0,1,0,5.0,0,0.0,28.875000000000004,53.0
0,1,0,26.0,3,93.0,28.875000000000004,40.0
0,1,0,26.0,4,29.7,17.82,31.0
0,1,0,119.0,3,9.9,5.94,31.0
0,1,0,48.0,1,59.4,28.875000000000004,26.0
0,1,0,5.0,0,39.6,23.76,55.0
0,1,0,30.0,0,59.4,28.875000000000004,27.0
0,1,0,9.0,4,49.5,28.875000000000004,50.0
0,1,0,32.0,0,49.5,28.875000000000004,31.0
0,1,0,8.0,0,39.6,23.76,30.0
0,1,0,4.0,0,19.8,11.88,29.0
0,1,0,111.0,1,89.1,28.875000000000004,31.0
0,1,0,34.0,1,19.8,11.88,34.0
0,1,0,19.0,0,39.6,23.76,35.0
0,1,0,20.0,1,93.0,28.875000000000004,34.0
0,1,0,119.0,1,0.0,28.875000000000004,23.0
0,1,0,2.0,9,9.9,5.94,44.0
0,1,0,4.0,7,20.0,0.0,36.0
0,1,0,13.0,4,20.0,0.0,36.0
0,1,0,39.0,26,69.0,0.0,36.0
0,1,0,10.0,19,20.0,0.0,36.0
0,1,0,48.0,0,20.0,0.0,53.0
0,1,0,62.0,16,22.0,0.0,36.0
0,1,0,4.0,0,20.0,0.0,53.0
0,1,0,90.0,20,42.0,0.0,36.0
0,1,0,10.0,17,56.0,0.0,36.0
0,1,0,13.0,0,20.0,0.0,43.0
0,1,0,19.0,4,20.0,0.0,36.0
0,1,0,3.0,9,20.0,0.0,39.0
0,1,0,18.0,4,20.0,0.0,45.0
0,1,0,18.0,7,20.0,0.0,36.0
0,1,0,22.0,14,69.0,0.0,36.0
0,1,0,6.0,14,36.0,0.0,36.0
0,1,0,11.0,0,20.0,0.0,48.0
0,1,0,18.0,10,93.0,0.0,36.0
0,1,0,12.0,14,27.0,0.0,36.0
0,1,0,81.0,20,32.0,0.0,24.0
0,1,0,36.0,9,67.0,0.0,36.0
0,1,0,28.0,9,20.0,0.0,36.0
0,1,0,57.0,20,53.0,0.0,55.0
0,1,0,42.0,0,20.0,0.0,36.0
0,1,0,91.0,10,44.0,0.0,29.0
0,1,0,7.0,19,20.0,0.0,55.0
0,1,0,12.0,0,20.0,0.0,27.0
0,1,0,49.0,0,20.0,0.0,27.0
0,1,0,13.0,12,20.0,0.0,36.0
0,1,0,28.0,13,50.0,0.0,36.0
0,1,0,119.0,10,89.0,0.0,25.0
0,1,0,7.0,0,16.0,0.0,36.0
0,1,0,22.0,19,29.0,0.0,36.0
0,1,0,1.0,3,20.0,0.0,47.0
0,1,0,49.0,13,24.0,0.0,36.0
0,1,0,28.0,4,27.0,0.0,36.0
0,1,0,13.0,14,33.0,0.0,36.0
0,1,0,118.0,18,10.0,0.0,35.0
0,1,0,7.0,9,18.0,0.0,36.0
0,1,0,7.0,20,58.0,0.0,36.0
0,1,0,52.0,27,46.0,0.0,36.0
0,1,0,59.0,18,16.0,0.0,23.0
0,1,0,38.0,19,12.0,0.0,36.0
0,1,0,18.0,4,29.0,0.0,36.0
0,1,0,73.0,3,69.0,0.0,55.0
0,1,0,21.0,12,15.0,0.0,31.0
0,1,0,25.0,0,20.0,0.0,36.0
0,1,0,19.0,20,19.0,0.0,36.0
0,1,0,20.0,0,13.0,0.0,36.0
0,1,0,33.0,11,74.0,0.0,36.0
0,1,0,31.0,4,40.0,0.0,30.0
0,1,0,24.0,4,10.0,0.0,36.0
0,1,0,1.0,3,17.0,0.0,28.0
0,1,0,12.0,0,13.0,0.0,36.0
0,1,0,5.0,0,10.0,0.0,36.0
0,1,0,25.0,28,80.0,0.0,36.0
0,1,0,12.0,19,80.0,0.0,36.0
0,1,0,12.0,4,34.0,0.0,36.0
0,1,0,94.0,1,80.0,0.0,36.0
0,1,0,13.0,18,10.0,0.0,36.0
0,1,0,46.0,1,80.0,0.0,36.0
0,1,0,29.0,20,22.0,0.0,30.0
0,1,0,57.0,9,11.0,0.0,40.0
0,1,0,82.0,29,80.0,0.0,36.0
0,1,0,13.0,30,10.0,0.0,36.0
0,1,0,12.0,31,14.0,0.0,36.0
0,1,0,9.0,4,13.0,0.0,36.0
0,1,0,6.0,4,23.0,0.0,33.0
0,1,0,55.0,1,26.0,0.0,36.0
0,1,0,2.0,0,20.0,0.0,36.0
0,1,0,26.0,0,20.0,0.0,24.0
0,1,0,4.0,14,20.0,0.0,36.0
0,1,0,25.0,14,46.0,0.0,36.0
0,1,0,49.0,9,20.0,0.0,29.0
1,1,0,4.0,13,62.0,24.8,55.0
1,1,0,14.0,25,15.0,6.0,39.0
1,1,0,54.0,9,1.98,0.56,48.0
1,1,0,40.0,9,3.89,1.09,48.0
1,1,0,11.0,9,7.21,2.02,48.0
1,1,0,5.0,19,22.0,7.7,55.0
1,1,0,5.0,12,22.0,7.7,53.0
1,1,0,6.0,4,22.0,7.7,55.0
1,1,0,2.0,7,18.0,6.3,55.0
1,1,0,15.0,31,30.0,10.5,55.0
1,1,0,90.0,0,22.0,7.7,55.0
1,1,0,28.0,19,35.0,12.25,52.0
1,1,0,21.0,7,22.0,7.7,40.0
1,1,0,119.0,12,33.0,11.55,38.0
1,1,0,34.0,14,22.0,7.7,46.0
1,1,0,49.0,32,67.0,23.45,49.0
1,1,0,33.0,1,92.0,28.875000000000004,55.0
1,1,0,19.0,9,17.55,4.39,31.0
1,1,0,4.0,9,17.55,4.39,35.0
1,1,0,9.0,9,17.55,4.39,26.0
1,1,0,28.0,9,17.55,4.39,33.0
1,1,0,18.0,9,0.0,7.47,45.0
1,1,0,18.0,9,38.35,9.59,34.0
1,1,0,55.0,9,93.0,23.5,30.0
1,1,0,32.0,9,44.85,11.21,27.0
1,1,0,13.0,9,62.25,15.56,27.0
1,1,0,13.0,9,81.75,20.44,30.0
1,1,0,12.0,9,62.25,15.56,29.0
1,1,1,10.0,9,43.55,10.89,45.0
1,1,0,10.0,9,43.55,10.89,46.0
1,1,0,34.0,9,93.0,27.25,27.0
1,1,0,119.0,9,93.0,28.875000000000004,29.0
1,1,0,119.0,9,93.0,28.875000000000004,30.0
1,1,0,119.0,9,93.0,28.875000000000004,47.0
1,1,0,119.0,9,93.0,28.875000000000004,30.0
0,1,0,114.0,11,69.3,28.875000000000004,51.0
0,1,0,20.0,2,39.6,23.76,51.0
0,1,0,40.0,33,93.0,28.875000000000004,55.0
0,1,0,3.0,0,29.7,17.82,28.0
0,1,0,85.0,23,93.0,28.875000000000004,35.0
0,1,0,5.0,0,0.0,28.875000000000004,54.0
0,1,0,17.0,3,93.0,28.875000000000004,32.0
0,1,0,6.0,3,29.7,17.82,31.0
0,1,0,119.0,6,0.0,28.875000000000004,31.0
0,1,0,5.0,11,39.6,23.76,31.0
0,1,0,5.0,4,29.7,17.82,44.0
0,1,0,18.0,1,93.0,28.875000000000004,51.0
0,1,0,5.0,1,29.7,17.82,29.0
0,1,0,45.0,4,19.8,11.88,33.0
0,1,0,8.0,33,49.5,28.875000000000004,31.0
0,1,0,103.0,3,93.0,28.875000000000004,29.0
0,1,0,12.0,10,29.7,17.82,31.0
0,1,0,110.0,9,20.0,0.0,35.0
0,1,0,119.0,11,64.0,0.0,36.0
0,1,0,32.0,34,93.0,0.0,36.0
0,1,0,26.0,0,20.0,0.0,36.0
0,1,0,37.0,3,93.0,0.0,31.0
0,1,0,32.0,3,50.0,0.0,25.0
0,1,0,7.0,19,23.0,0.0,28.0
0,1,0,39.0,9,38.0,0.0,36.0
0,1,0,27.0,12,20.0,0.0,36.0
0,1,0,22.0,12,20.0,0.0,36.0
0,1,0,119.0,10,31.0,0.0,36.0
0,1,0,11.0,1,74.0,0.0,36.0
0,1,0,12.0,35,37.0,0.0,36.0
0,1,0,21.0,14,52.0,0.0,36.0
0,1,0,56.0,2,69.0,0.0,36.0
0,1,0,56.0,2,69.0,0.0,36.0
0,1,0,20.0,4,20.0,0.0,36.0
0,1,0,41.0,7,26.0,0.0,36.0
0,1,0,15.0,17,30.0,0.0,36.0
0,1,0,20.0,13,46.0,0.0,36.0
0,1,0,9.0,4,20.0,0.0,36.0
0,1,0,14.0,4,20.0,0.0,40.0
0,1,0,35.0,9,56.0,0.0,36.0
0,1,0,2.0,0,29.0,0.0,36.0
0,1,0,8.0,0,20.0,0.0,35.0
0,1,0,9.0,9,0.0,0.0,36.0
0,1,0,8.0,0,32.0,0.0,36.0
0,1,0,10.0,7,23.0,0.0,36.0
0,1,0,24.0,7,71.0,0.0,36.0
0,1,0,4.0,9,20.0,0.0,36.0
0,1,0,3.0,0,20.0,0.0,36.0
0,1,0,4.0,14,37.0,0.0,36.0
0,1,0,3.0,0,20.0,0.0,25.0
0,1,0,17.0,4,26.0,0.0,55.0
0,1,0,75.0,1,31.0,0.0,36.0
0,1,0,9.0,9,30.0,0.0,36.0
0,1,0,47.0,0,37.0,0.0,31.0
0,1,0,28.0,30,39.0,0.0,36.0
0,1,0,83.0,17,20.0,0.0,39.0
0,1,0,56.0,1,27.0,0.0,36.0
0,1,0,1.0,3,24.0,0.0,55.0
0,1,1,73.0,4,16.0,0.0,36.0
0,1,0,12.0,0,10.0,0.0,36.0
0,1,0,15.0,9,19.0,0.0,36.0
0,1,0,12.0,7,37.0,0.0,36.0
0,1,0,27.0,9,70.0,0.0,26.0
0,1,0,24.0,0,14.0,0.0,36.0
0,1,0,27.0,0,10.0,0.0,49.0
0,1,0,41.0,20,10.0,0.0,23.0
0,1,0,41.0,20,10.0,0.0,23.0
0,1,0,35.0,18,13.0,0.0,39.0
0,1,0,8.0,3,42.0,0.0,55.0
0,1,0,34.0,14,33.0,0.0,36.0
0,1,0,27.0,31,17.0,0.0,36.0
0,1,0,54.0,20,39.0,0.0,36.0
0,1,0,11.0,19,18.0,0.0,36.0
0,1,0,5.0,19,29.0,0.0,36.0
0,1,0,40.0,19,24.0,0.0,28.0
0,1,0,29.0,16,43.0,0.0,36.0
0,1,0,7.0,9,10.0,0.0,36.0
0,1,0,28.0,4,30.0,0.0,36.0
0,1,0,57.0,30,10.0,0.0,32.0
0,1,0,38.0,3,18.0,0.0,38.0
0,1,0,53.0,23,59.0,0.0,36.0
0,1,0,40.0,9,16.0,0.0,45.0
0,1,0,18.0,18,19.0,0.0,36.0
0,1,0,32.0,14,33.0,0.0,36.0
0,1,0,13.0,19,21.0,0.0,53.0
0,1,0,25.0,13,20.0,0.0,36.0
0,1,0,15.0,14,32.0,0.0,36.0
0,1,0,11.0,14,24.0,0.0,36.0
0,1,0,13.0,14,16.0,0.0,36.0
0,1,0,36.0,3,11.0,0.0,23.0
0,1,0,26.0,0,22.0,0.0,54.0
0,1,0,27.0,13,0.0,0.0,36.0
0,1,0,49.0,1,18.0,0.0,36.0
0,1,0,33.0,12,10.0,0.0,36.0
0,1,0,27.0,12,10.0,0.0,28.0
0,1,0,81.0,36,45.0,0.0,36.0
0,1,0,27.0,19,30.0,0.0,23.0
0,1,0,25.0,1,45.0,0.0,36.0
0,1,0,82.0,17,14.0,0.0,36.0
0,1,0,70.0,16,21.0,0.0,36.0
0,1,0,19.0,0,10.0,0.0,36.0
0,1,0,19.0,0,10.0,0.0,36.0
0,1,0,14.0,14,20.0,0.0,36.0
0,1,0,6.0,18,20.0,0.0,55.0
0,1,0,9.0,18,20.0,0.0,36.0
0,1,0,52.0,1,28.0,0.0,36.0
0,1,0,17.0,10,39.0,0.0,36.0
0,1,0,25.0,14,27.0,0.0,36.0
0,1,0,5.0,9,51.0,0.0,36.0
0,1,0,49.0,17,20.0,0.0,36.0
0,1,0,5.0,7,20.0,0.0,29.0
0,1,0,17.0,0,37.0,0.0,36.0
1,1,0,16.0,13,50.0,20.0,55.0
1,1,0,75.0,25,31.0,12.4,55.0
1,1,0,3.0,25,15.0,6.0,48.0
1,1,0,39.0,9,1.48,0.41,48.0
1,1,0,53.0,9,73.67,20.65,48.0
1,1,0,40.0,9,7.21,2.02,48.0
1,1,0,13.0,9,5.09,1.43,48.0
1,1,0,4.0,18,18.0,6.3,29.0
1,1,0,54.0,19,26.0,9.1,40.0
1,1,0,3.0,0,18.0,6.3,33.0
1,1,0,5.0,0,18.0,6.3,40.0
1,1,0,104.0,10,35.0,12.25,38.0
1,1,0,10.0,4,22.0,7.7,42.0
1,1,0,24.0,13,35.0,12.25,53.0
1,1,0,10.0,4,22.0,7.7,45.0
1,1,0,48.0,13,50.0,17.5,53.0
1,1,0,6.0,4,18.0,6.3,49.0
1,1,0,7.0,16,26.0,9.1,47.0
1,1,0,20.0,30,26.0,9.1,45.0
1,1,0,6.0,14,26.0,9.1,47.0
1,1,0,15.0,4,22.0,7.7,49.0
1,1,0,4.0,4,18.0,6.3,55.0
1,1,0,48.0,10,26.0,9.1,32.0
1,1,0,14.0,4,22.0,7.7,55.0
1,1,0,14.0,18,33.0,11.55,34.0
1,1,0,42.0,14,63.0,22.05,48.0
1,1,0,13.0,4,22.0,7.7,55.0
1,1,0,119.0,11,93.0,28.875000000000004,31.0
1,1,0,36.0,11,87.0,28.875000000000004,51.0
1,1,0,119.0,15,93.0,28.875000000000004,38.0
1,1,0,42.0,14,92.0,28.875000000000004,53.0
1,1,0,11.0,29,87.0,28.875000000000004,49.0
1,1,0,10.0,14,45.0,15.75,50.0
0,0,0,92.0,0,29.0,9.57,55.0
0,0,0,92.0,0,29.0,9.57,55.0
0,0,0,5.0,0,29.0,9.57,55.0
0,0,0,5.0,0,29.0,9.57,55.0
0,0,0,5.0,0,29.0,9.57,55.0
0,0,0,36.0,4,29.0,9.57,55.0
1,1,0,2.0,17,7.44,2.6,48.0
1,1,0,2.0,4,9.48,3.32,48.0
1,1,0,10.0,9,38.35,9.59,55.0
1,1,0,17.0,9,38.35,9.59,45.0
1,1,0,32.0,9,22.1,5.53,28.0
1,1,0,32.0,9,38.35,9.59,26.0
1,1,0,4.0,9,17.55,4.39,23.0
1,1,0,7.0,9,17.25,4.31,55.0
1,1,0,119.0,9,93.0,28.875000000000004,25.0
1,1,0,33.0,9,17.25,4.31,30.0
1,1,0,5.0,9,17.55,4.39,25.0
1,1,0,31.0,9,38.35,9.59,55.0
1,1,0,18.0,9,71.0,17.75,42.0
1,1,1,11.0,9,62.25,15.56,33.0
1,1,0,47.0,9,70.85,17.71,39.0
1,1,0,61.0,9,25.9,6.47,37.0
1,1,0,5.0,9,25.9,6.47,42.0
1,1,0,26.0,9,93.0,28.875000000000004,48.0
1,1,1,119.0,9,93.0,28.875000000000004,32.0
1,1,0,119.0,9,93.0,28.875000000000004,42.0
1,1,0,119.0,9,93.0,28.875000000000004,33.0
1,1,0,119.0,9,93.0,28.875000000000004,42.0
0,1,0,86.0,0,39.6,23.76,43.0
0,1,0,2.0,0,9.9,5.94,55.0
0,1,0,2.0,3,19.8,11.88,30.0
0,1,0,17.0,4,29.7,17.82,52.0
0,1,0,60.0,0,19.8,11.88,31.0
0,1,0,28.0,4,49.5,28.875000000000004,31.0
0,1,0,8.0,0,19.8,11.88,55.0
0,1,0,4.0,21,19.8,11.88,31.0
0,1,0,32.0,0,0.0,28.875000000000004,45.0
0,1,0,26.0,1,39.6,23.76,43.0
0,1,0,100.0,1,0.0,28.875000000000004,31.0
0,1,1,105.0,11,39.6,23.76,32.0
0,1,0,119.0,4,49.5,28.875000000000004,41.0
0,1,0,34.0,1,59.4,28.875000000000004,35.0
0,1,0,56.0,4,31.0,0.0,32.0
0,1,0,52.0,17,34.0,0.0,36.0
0,1,0,53.0,17,20.0,0.0,26.0
0,1,0,39.0,0,20.0,0.0,36.0
0,1,0,99.0,4,33.0,0.0,36.0
0,1,0,45.0,16,25.0,0.0,36.0
0,1,0,9.0,12,20.0,0.0,51.0
0,1,0,21.0,0,20.0,0.0,36.0
0,1,0,52.0,17,34.0,0.0,36.0
0,1,0,52.0,17,34.0,0.0,36.0
0,1,0,76.0,14,38.0,0.0,36.0
0,1,0,25.0,17,70.0,0.0,36.0
0,1,0,46.0,4,24.0,0.0,36.0
0,1,0,119.0,27,76.0,0.0,36.0
0,1,0,103.0,20,56.0,0.0,36.0
0,1,0,11.0,9,26.0,0.0,36.0
0,1,0,33.0,19,21.0,0.0,26.0
0,1,0,108.0,18,20.0,0.0,29.0
0,1,0,19.0,0,20.0,0.0,50.0
0,1,0,119.0,11,93.0,0.0,36.0
0,1,1,9.0,14,87.0,0.0,36.0
0,1,0,13.0,12,20.0,0.0,55.0
0,1,0,11.0,4,20.0,0.0,36.0
0,1,0,8.0,9,30.0,0.0,36.0
0,1,0,16.0,14,46.0,0.0,36.0
0,1,0,6.0,12,26.0,0.0,36.0
0,1,0,10.0,31,93.0,0.0,36.0
0,1,0,14.0,0,20.0,0.0,39.0
0,1,0,45.0,14,0.0,0.0,36.0
0,1,0,119.0,28,21.0,0.0,36.0
0,1,0,45.0,14,33.0,0.0,36.0
0,1,0,107.0,4,20.0,0.0,38.0
0,1,0,10.0,14,68.0,0.0,36.0
0,1,0,61.0,12,25.0,0.0,36.0
0,1,0,83.0,14,28.0,0.0,36.0
0,1,0,61.0,12,25.0,0.0,36.0
0,1,0,47.0,4,68.0,0.0,36.0
0,1,0,34.0,1,62.0,0.0,36.0
0,1,0,25.0,3,93.0,0.0,38.0
0,1,0,7.0,37,93.0,0.0,36.0
0,1,0,7.0,0,20.0,0.0,36.0
0,1,0,18.0,14,31.0,0.0,36.0
0,1,0,38.0,3,10.0,0.0,42.0
0,1,0,12.0,19,21.0,0.0,51.0
0,1,0,6.0,9,13.0,0.0,28.0
0,1,0,14.0,4,27.0,0.0,36.0
0,1,0,41.0,12,12.0,0.0,36.0
0,1,0,56.0,16,21.0,0.0,36.0
0,1,0,7.0,38,19.0,0.0,36.0
0,1,0,87.0,11,80.0,0.0,43.0
0,1,0,22.0,0,11.0,0.0,45.0
0,1,0,24.0,9,60.0,0.0,36.0
0,1,0,59.0,18,16.0,0.0,36.0
0,1,0,12.0,0,20.0,0.0,45.0
0,1,0,76.0,13,22.0,0.0,36.0
0,1,0,12.0,7,15.0,0.0,36.0
0,1,0,45.0,4,30.0,0.0,36.0
0,1,0,83.0,17,23.0,0.0,36.0
0,1,0,10.0,13,45.0,0.0,36.0
0,1,0,28.0,13,25.0,0.0,36.0
0,1,0,119.0,39,80.0,0.0,36.0
0,1,0,27.0,14,46.0,0.0,49.0
0,1,0,28.0,13,35.0,0.0,36.0
0,1,0,19.0,40,80.0,0.0,36.0
0,1,0,119.0,0,26.0,0.0,28.0
0,1,0,11.0,12,32.0,0.0,36.0
0,1,0,11.0,4,15.0,0.0,36.0
0,1,0,12.0,9,10.0,0.0,36.0
0,1,0,4.0,4,10.0,0.0,36.0
0,1,0,7.0,4,10.0,0.0,24.0
0,1,0,12.0,1,33.0,0.0,36.0
0,1,0,54.0,41,10.0,0.0,23.0
0,1,0,2.0,9,14.0,0.0,36.0
0,1,0,3.0,20,49.0,0.0,23.0
0,1,0,47.0,14,31.0,0.0,36.0
0,1,0,9.0,19,15.0,0.0,36.0
0,1,0,119.0,41,80.0,0.0,29.0
0,1,0,15.0,9,80.0,0.0,36.0
0,1,0,26.0,17,19.0,0.0,29.0
0,1,0,39.0,12,27.0,0.0,37.0
0,1,0,40.0,10,43.0,0.0,36.0
0,1,0,4.0,7,10.0,0.0,36.0
0,1,0,39.0,10,80.0,0.0,36.0
0,1,0,5.0,19,10.0,0.0,36.0
0,1,0,81.0,10,36.0,0.0,36.0
0,1,0,6.0,9,16.0,0.0,45.0
0,1,0,8.0,4,10.0,0.0,53.0
0,1,0,5.0,0,19.0,0.0,36.0
0,1,0,119.0,17,13.0,0.0,36.0
0,1,0,31.0,0,14.0,0.0,36.0
0,1,0,119.0,10,40.0,0.0,36.0
0,1,0,7.0,7,10.0,0.0,55.0
0,1,0,119.0,9,49.0,0.0,36.0
0,1,0,28.0,2,72.0,0.0,36.0
0,1,0,32.0,20,55.0,0.0,36.0
0,1,0,64.0,10,38.0,0.0,36.0
0,1,0,18.0,7,0.0,0.0,36.0
0,1,0,17.0,0,40.0,0.0,35.0
0,1,0,33.0,14,32.0,0.0,36.0
0,1,0,7.0,31,41.0,0.0,36.0
0,1,0,22.0,30,30.0,0.0,36.0
0,1,0,17.0,4,27.0,0.0,36.0
0,1,0,41.0,41,40.0,0.0,26.0
0,1,0,119.0,41,62.0,0.0,32.0
0,1,0,9.0,19,39.0,0.0,55.0
0,1,0,25.0,9,16.0,0.0,36.0
0,1,0,26.0,13,30.0,0.0,36.0
0,1,0,18.0,16,17.0,0.0,36.0
0,1,0,119.0,9,32.0,0.0,36.0
0,1,0,112.0,20,23.0,0.0,36.0
0,1,0,3.0,20,20.0,0.0,36.0
0,1,0,2.0,42,56.0,0.0,36.0
0,1,0,10.0,9,20.0,0.0,55.0
0,1,0,7.0,9,20.0,0.0,36.0
0,1,0,8.0,19,55.0,0.0,49.0
0,1,0,27.0,9,20.0,0.0,36.0
0,1,0,54.0,43,20.0,0.0,36.0
0,1,0,12.0,1,47.0,0.0,36.0
0,1,0,13.0,7,20.0,0.0,39.0
0,1,0,31.0,3,20.0,0.0,45.0
1,1,0,10.0,13,31.0,12.4,55.0
1,1,0,18.0,13,0.0,28.8,55.0
1,1,0,7.0,13,62.0,24.8,55.0
1,1,0,12.0,13,60.0,24.0,55.0
1,1,0,15.0,13,50.0,20.0,55.0
0,1,0,40.0,12,28.0,10.64,48.0
0,1,0,38.0,37,75.0,28.5,48.0
0,1,0,111.0,29,93.0,28.875000000000004,48.0
